Monitor Name,SN_NO,WE_Zero_elec_NO,WE_Zero_total_NO,AUX_Zero_elec_NO,AUX_Zero_total_NO,WE_sens_NO,WE_sens_NO_mv.ppb,sensor
MESA1,160260251,288,358,289,337,747,0.598,MESA1
MESA2,160260256,284,350,290,333,773,0.618,MESA2
MESA3,160260221,280,350,277,325,668,0.534,MESA3
MESA4,160260211,286,365,286,338,697,0.558,MESA4
MESA5,160260259,268,343,277,327,727,0.582,MESA5
MESA6,160260247,296,358,274,314,762,0.61,MESA6
MESA7,160260212,283,283,287,287,693,0.554,MESA7
MESA8,160260241,288,374,277,346,655,0.524,MESA8
MESA9,160260252,272,344,282,332,733,0.586,MESA9
MESA10,160260258,276,353,277,327,707,0.566,MESA10
MESA11,160260243,270,340,265,328,732,0.586,MESA11
MESA12,160260237,282,350,296,344,737,0.59,MESA12
MESA13,160260245,297,373,287,344,743,0.594,MESA13
MESA14,160260250,280,351,286,338,692,0.554,MESA14
MESA15,160260239,282,362,278,333,739,0.591,MESA15
MESA16,160260228,287,364,269,328,699,0.559,MESA16
MESA17,160260202,274,336,283,329,717,0.574,MESA17
MESA18,160260253,268,324,292,342,724,0.579,MESA18
MESA19,160260240,283,280,273,324,776,0.621,MESA19
MESA20,160260260,290,361,280,330,708,0.564,MESA20
MESA21,160260257,283,352,270,320,698,0.558,MESA21
